thread 1:
sx-stackoverflow.txt M4.txt 2512
sx-stackoverflow.txt M5.txt 2622
sx-stackoverflow.txt M6.txt 4741
sx-stackoverflow.txt M7.txt 2295
sx-stackoverflow.txt M8.txt 2847
sx-stackoverflow.txt M9.txt 2242
sx-stackoverflow.txt M10.txt 1438
sx-stackoverflow.txt M11.txt 4076
sx-stackoverflow.txt M12.txt 4175
sx-stackoverflow.txt M13.txt 2545

thread 64:
wiki-talk-temporal.txt M1.txt 79
wiki-talk-temporal.txt M2.txt 809
wiki-talk-temporal.txt M3.txt 148
wiki-talk-temporal.txt M4.txt 134
wiki-talk-temporal.txt M5.txt 150
wiki-talk-temporal.txt M6.txt 1326
wiki-talk-temporal.txt M7.txt 1511
wiki-talk-temporal.txt M8.txt 508
wiki-talk-temporal.txt M9.txt 229
wiki-talk-temporal.txt M10.txt 106
wiki-talk-temporal.txt M11.txt 213
wiki-talk-temporal.txt M12.txt 221
wiki-talk-temporal.txt M13.txt 168
sx-stackoverflow.txt M1.txt 863
sx-stackoverflow.txt M2.txt 701
sx-stackoverflow.txt M3.txt 1465
sx-stackoverflow.txt M4.txt 1413
sx-stackoverflow.txt M5.txt 1493
sx-stackoverflow.txt M6.txt 3076
sx-stackoverflow.txt M7.txt 1326
sx-stackoverflow.txt M8.txt 1609
sx-stackoverflow.txt M9.txt 1267
sx-stackoverflow.txt M10.txt 823
sx-stackoverflow.txt M11.txt 2374
sx-stackoverflow.txt M12.txt 2496
sx-stackoverflow.txt M13.txt 1552
